"listed_in_type","listed_in_city","online_order","book_table",".cluster","count_ofrestaurants","rate","votes","approx_cost_for_two_people","num_of_dish_liked","num_of_cuisines"
"Cafes","Koramangala 6th Block","Yes","No",4,1,3.7,18,900,1,2
"Cafes","New BEL Road","Yes","No",4,1,3.7,67,250,5,2
"Delivery","Basavanagudi","No","Yes",7,3,3.7,319,1050,6.33333333333333,2.66666666666667
"Delivery","Basavanagudi","Yes","Yes",1,1,3.7,49,300,1,2
"Delivery","Frazer Town","Yes","Yes",1,1,3.7,59,1500,1,1
"Delivery","Koramangala 5th Block","Yes","No",1,5,3.7,29.2,330,1.4,2
"Delivery","Koramangala 7th Block","No","No",1,1,3.7,34,300,1,2
"Delivery","Marathahalli","No","Yes",1,1,3.7,88,800,1,8
"Delivery","New BEL Road","No","Yes",1,1,3.7,511,600,4,1
"Delivery","Whitefield","Yes","Yes",1,2,3.7,60,375,2,3.5
"Desserts","Church Street","Yes","No",1,2,3.7,54.5,200,3,2
"Drinks & nightlife","Rajajinagar","Yes","No",7,1,3.7,174,800,7,3
"Dine-out","New BEL Road","Yes","No",2,10,3.69,73.5,325,1.9,1.7
"Dine-out","BTM","Yes","No",2,27,3.68888888888889,244,455.555555555556,3.40740740740741,2.62962962962963
"Cafes","Kalyan Nagar","No","No",4,16,3.6875,129,540.625,2.875,2.4375
"Delivery","Brookefield","No","No",7,8,3.6875,399.25,575,6.875,2.75
"Desserts","HSR","No","No",6,13,3.68461538461538,133.769230769231,288.461538461538,3.07692307692308,1.76923076923077
"Delivery","BTM","Yes","Yes",1,5,3.68,125.4,650,1.4,3.4
"Cafes","Bannerghatta Road","No","No",4,14,3.67857142857143,80.5714285714286,589.285714285714,2.71428571428571,2.64285714285714
"Dine-out","MG Road","No","No",2,4,3.675,97.5,487.5,3.25,3
"Desserts","Frazer Town","No","No",1,7,3.67142857142857,38.1428571428571,264.285714285714,1.14285714285714,1.57142857142857
"Cafes","Frazer Town","Yes","No",4,3,3.66666666666667,100.333333333333,583.333333333333,3,1.66666666666667
